cidade,semana,tmedia,tmax,tmin,chuva,mes,ano
Campina Grande,1994-03-13T00:00:00Z,26.20952380952381,33.3,20.3,34.6,3,1994
Campina Grande,1994-03-20T00:00:00Z,24.880952380952383,30.9,21,42.1,3,1994
Campina Grande,1994-03-27T00:00:00Z,24.242857142857144,29.7,20.7,45.7,3,1994
Campina Grande,1994-04-03T00:00:00Z,24.714285714285715,29.5,19.5,52.8,4,1994
Campina Grande,1994-04-10T00:00:00Z,25.166666666666668,30.2,20.3,0.2,4,1994
Campina Grande,1994-04-17T00:00:00Z,24.576190476190476,29.8,19.6,17.400000000000002,4,1994
Campina Grande,1994-04-24T00:00:00Z,24.82857142857143,29.7,20.2,6.8,4,1994
Campina Grande,1995-01-01T00:00:00Z,25.06111111111111,30.4,18.5,1.3,1,1995
Campina Grande,1995-01-08T00:00:00Z,25.39047619047619,31.8,19,0.1,1,1995
Campina Grande,1995-01-15T00:00:00Z,26.05238095238095,31.9,19.7,0.7,1,1995
Campina Grande,1995-01-22T00:00:00Z,26.547619047619047,32.5,20,0,1,1995
Campina Grande,1995-01-29T00:00:00Z,26.409523809523808,32.5,20.2,0.3,1,1995
Campina Grande,1995-02-05T00:00:00Z,25.461904761904762,32.7,21.1,3,2,1995
Campina Grande,1995-02-12T00:00:00Z,26.152380952380952,32.8,19.5,3.2,2,1995
Campina Grande,1995-02-19T00:00:00Z,26.35238095238095,32.1,20,9.4,2,1995
Campina Grande,1995-02-26T00:00:00Z,26.823809523809523,32.7,20.3,0,2,1995
Campina Grande,1995-03-05T00:00:00Z,26.11904761904762,32.1,18.2,5.4,3,1995
Campina Grande,1995-03-12T00:00:00Z,26.16190476190476,32.5,20.7,18.8,3,1995
Campina Grande,1995-03-19T00:00:00Z,26.81904761904762,32.7,21.1,0.1,3,1995
Campina Grande,1995-03-26T00:00:00Z,26.057142857142857,31.3,19.7,34.8,3,1995
Campina Grande,1995-04-02T00:00:00Z,25.51904761904762,31.3,19.9,17.9,4,1995
Campina Grande,1995-04-09T00:00:00Z,23.976190476190474,31.9,19.2,77.4,4,1995
Campina Grande,1995-04-16T00:00:00Z,24.919047619047618,30,18.9,31.1,4,1995
Campina Grande,1995-04-23T00:00:00Z,25.59047619047619,30.1,20,0.4,4,1995
Campina Grande,1995-04-30T00:00:00Z,25.038095238095238,30,20,2,4,1995
Campina Grande,1995-05-07T00:00:00Z,26.2,31,19.5,1.4,5,1995
Campina Grande,1995-05-14T00:00:00Z,24.995238095238097,30.7,19.1,17.099999999999998,5,1995
Campina Grande,1995-05-21T00:00:00Z,24.68095238095238,29.3,19.8,16.9,5,1995
Campina Grande,1995-05-28T00:00:00Z,23.69047619047619,28.4,19.4,29.8,5,1995
Campina Grande,1995-06-04T00:00:00Z,22.4,26.7,18.5,41.1,6,1995
Campina Grande,1995-06-11T00:00:00Z,22.20952380952381,27.1,18.3,36.3,6,1995
Campina Grande,1995-06-18T00:00:00Z,23.295238095238094,28.6,17.1,19.099999999999998,6,1995
Campina Grande,1995-06-25T00:00:00Z,21.89047619047619,27.5,18.2,67.7,6,1995
Campina Grande,1995-07-02T00:00:00Z,22.666666666666668,26.8,18.4,42.1,7,1995
Campina Grande,1995-07-09T00:00:00Z,22.414285714285715,26.9,15.3,8.5,7,1995
Campina Grande,1995-07-16T00:00:00Z,21.247619047619047,25.1,17.3,67.5,7,1995
Campina Grande,1995-07-23T00:00:00Z,21.071428571428573,25,17.2,47.7,7,1995
Campina Grande,1995-07-30T00:00:00Z,22.561904761904763,27.1,15.7,4.8,7,1995
Campina Grande,1995-08-06T00:00:00Z,22.142857142857142,27,16.7,3.2,8,1995
Campina Grande,1995-08-13T00:00:00Z,22.7,27.9,16.9,3,8,1995
Campina Grande,1995-08-20T00:00:00Z,22.976190476190474,27.8,17.1,1.9000000000000001,8,1995
Campina Grande,1995-08-27T00:00:00Z,23.176190476190477,28.2,17.3,11.5,8,1995
Campina Grande,1995-09-03T00:00:00Z,23.28095238095238,27.9,17.8,0.1,9,1995
Campina Grande,1995-09-10T00:00:00Z,23.81904761904762,29.8,16.1,0,9,1995
Campina Grande,1995-09-17T00:00:00Z,24.295238095238094,30.1,16.8,0,9,1995
Campina Grande,1995-09-24T00:00:00Z,24.419047619047618,29.9,17.9,0.1,9,1995
Campina Grande,1995-10-01T00:00:00Z,25.10952380952381,31.4,17.3,0,10,1995
Campina Grande,1995-10-08T00:00:00Z,25.48095238095238,31.8,19.2,1,10,1995
Campina Grande,1995-10-15T00:00:00Z,25.142857142857142,31.8,18.5,0,10,1995
Campina Grande,1995-10-22T00:00:00Z,25.00952380952381,31.7,18.5,1,10,1995
Campina Grande,1995-10-29T00:00:00Z,24.833333333333332,31.8,19.3,4.2,10,1995
Campina Grande,1995-11-05T00:00:00Z,24.61904761904762,30.3,18.6,2.6999999999999997,11,1995
Campina Grande,1995-11-12T00:00:00Z,25.152380952380952,31.7,20.1,2.7,11,1995
Campina Grande,1995-11-19T00:00:00Z,24.942857142857143,31.5,20.2,6.4,11,1995
Campina Grande,1995-11-26T00:00:00Z,25.771428571428572,31.8,20,0,11,1995
Campina Grande,1995-12-03T00:00:00Z,25.704761904761906,32,20.3,0,12,1995
Campina Grande,1995-12-10T00:00:00Z,26.60952380952381,32.4,20.1,0,12,1995
Campina Grande,1995-12-17T00:00:00Z,26.666666666666668,32.7,20.2,0,12,1995
Campina Grande,1995-12-24T00:00:00Z,26.942857142857143,33,21,0,12,1995
Campina Grande,1995-12-31T00:00:00Z,26.623809523809523,32.5,20.7,0,12,1995
Campina Grande,1996-01-07T00:00:00Z,26.961904761904762,32.8,20.5,0.6,1,1996
Campina Grande,1996-01-14T00:00:00Z,26.376190476190477,32.1,20.4,13.4,1,1996
Campina Grande,1996-01-21T00:00:00Z,25.976190476190478,31.9,20.2,1.4,1,1996
Campina Grande,1996-01-28T00:00:00Z,26.909523809523808,33.2,20.8,2.5,1,1996
Campina Grande,1996-02-04T00:00:00Z,27.052380952380954,32.8,20.3,0.5,2,1996
Campina Grande,1996-02-11T00:00:00Z,25.914285714285715,33,19.9,7.6,2,1996
Campina Grande,1996-02-18T00:00:00Z,26.52857142857143,32.6,20.6,0.3,2,1996
Campina Grande,1996-02-25T00:00:00Z,25.9,31.9,20.5,21,2,1996
Campina Grande,1996-03-03T00:00:00Z,26.34285714285714,31.9,21.7,8.1,3,1996
Campina Grande,1996-03-10T00:00:00Z,25.695238095238096,31.7,20.3,43.9,3,1996
Campina Grande,1996-03-17T00:00:00Z,25.428571428571427,31.4,20,16.9,3,1996
Campina Grande,1996-03-24T00:00:00Z,25.485714285714288,31.4,21.1,22.3,3,1996
Campina Grande,1996-03-31T00:00:00Z,25.79047619047619,30.9,21,5.7,3,1996
Campina Grande,1996-04-07T00:00:00Z,24.89047619047619,30.1,20.8,57.7,4,1996
Campina Grande,1996-04-14T00:00:00Z,25.266666666666666,30,20.5,22.7,4,1996
Campina Grande,1996-04-21T00:00:00Z,24.35238095238095,30.1,20.4,45.6,4,1996
Campina Grande,1996-04-28T00:00:00Z,23.723809523809525,28.2,19.7,74,4,1996
Campina Grande,1996-05-05T00:00:00Z,24.85238095238095,29,20.1,10.1,5,1996
Campina Grande,1996-05-12T00:00:00Z,24.742857142857144,29.3,19.8,2.5,5,1996
Campina Grande,1996-05-19T00:00:00Z,25.40952380952381,30.5,19.3,0,5,1996
Campina Grande,1996-05-26T00:00:00Z,23.609523809523807,29.3,18.8,80.19999999999999,5,1996
Campina Grande,1996-06-02T00:00:00Z,22.404761904761905,27.3,18.3,37.7,6,1996
Campina Grande,1996-06-09T00:00:00Z,22.238095238095237,26.7,18.6,21,6,1996
Campina Grande,1996-06-16T00:00:00Z,23.052380952380954,27.6,18,8.6,6,1996
Campina Grande,1996-06-23T00:00:00Z,22.595238095238095,27.1,17.2,10.2,6,1996
Campina Grande,1996-06-30T00:00:00Z,22.223809523809525,27.2,16.7,6.8,6,1996
Campina Grande,1996-07-07T00:00:00Z,22.580952380952382,28.1,16.8,0.4,7,1996
Campina Grande,1996-07-14T00:00:00Z,21.761904761904763,26.7,18.4,60.5,7,1996
Campina Grande,1996-07-21T00:00:00Z,21.52857142857143,26.2,18.1,15,7,1996
Campina Grande,1996-07-28T00:00:00Z,21.60952380952381,26.8,18,47.5,7,1996
Campina Grande,1996-08-04T00:00:00Z,22.766666666666666,27.8,17.3,32.5,8,1996
Campina Grande,1996-08-11T00:00:00Z,23.238095238095237,27.7,17.5,0.5,8,1996
Campina Grande,1996-08-18T00:00:00Z,21.847619047619048,27.7,17.5,17.9,8,1996
Campina Grande,1996-08-25T00:00:00Z,22.66190476190476,28.1,18,12,8,1996
Campina Grande,1996-09-01T00:00:00Z,23.3,28.2,17.3,3.5999999999999996,9,1996
Campina Grande,1996-09-08T00:00:00Z,23.204761904761906,28.9,17.8,10.8,9,1996
Campina Grande,1996-09-15T00:00:00Z,22.97142857142857,28.9,17.3,3.6999999999999997,9,1996
Campina Grande,1996-09-22T00:00:00Z,24.01904761904762,30.2,18.7,10,9,1996
Campina Grande,1996-09-29T00:00:00Z,25.042857142857144,29.9,18.2,0,9,1996
Campina Grande,1996-10-06T00:00:00Z,24.85238095238095,30.5,18.8,0,10,1996
Campina Grande,1996-10-13T00:00:00Z,24.69047619047619,30.5,19.2,0.7,10,1996
Campina Grande,1996-10-20T00:00:00Z,25.038095238095238,30.2,19.5,12.100000000000001,10,1996
Campina Grande,1996-10-27T00:00:00Z,25.423809523809524,30.9,20.2,3.3,10,1996
Campina Grande,1996-11-03T00:00:00Z,25.095238095238095,31.3,20,23.8,11,1996
Campina Grande,1996-11-10T00:00:00Z,23.952380952380953,29.6,19.8,13.9,11,1996
Campina Grande,1996-11-17T00:00:00Z,24.442857142857143,30.2,20.7,27.2,11,1996
Campina Grande,1996-11-24T00:00:00Z,25.747619047619047,30.7,19.5,0.3,11,1996
Campina Grande,1996-12-01T00:00:00Z,25.442857142857143,31,20.2,1.1,12,1996
Campina Grande,1996-12-08T00:00:00Z,26.428571428571427,31.9,20.4,0,12,1996
Campina Grande,1996-12-15T00:00:00Z,26.34285714285714,31.5,20.4,0.6,12,1996
Campina Grande,1996-12-22T00:00:00Z,26.17142857142857,31.3,21,0,12,1996
Campina Grande,1996-12-29T00:00:00Z,26.03333333333333,31.9,21.1,3.8,12,1996
Campina Grande,1997-01-05T00:00:00Z,26.69047619047619,32.6,21.7,1.2,1,1997
Campina Grande,1997-01-12T00:00:00Z,26.433333333333334,32.8,21.3,0,1,1997
Campina Grande,1997-01-19T00:00:00Z,26.285714285714285,32.9,21.7,0.2,1,1997
Campina Grande,1997-01-26T00:00:00Z,26.3,31.7,21,0,1,1997
Campina Grande,1997-02-02T00:00:00Z,26.738095238095237,32.6,20.9,0.2,2,1997
Campina Grande,1997-02-09T00:00:00Z,24.257142857142856,29.5,20.4,65.2,2,1997
Campina Grande,1997-02-16T00:00:00Z,24.038095238095238,29.7,20.3,41.4,2,1997
Campina Grande,1997-02-23T00:00:00Z,25.43809523809524,30.3,20.8,10.7,2,1997
Campina Grande,1997-03-02T00:00:00Z,25.423809523809524,30.9,20.7,17,3,1997
Campina Grande,1997-03-09T00:00:00Z,24.847619047619048,30.6,20.8,16.099999999999998,3,1997
Campina Grande,1997-03-16T00:00:00Z,25.357142857142858,30.9,21,4.3,3,1997
Campina Grande,1997-03-23T00:00:00Z,24.304761904761904,29.4,21.2,50.5,3,1997
Campina Grande,1997-03-30T00:00:00Z,24.36190476190476,29.8,20.3,14.2,3,1997
Campina Grande,1997-04-06T00:00:00Z,24.81904761904762,30.3,19.6,3.3,4,1997
Campina Grande,1997-04-13T00:00:00Z,24.014285714285716,29,19.2,61.4,4,1997
Campina Grande,1997-04-20T00:00:00Z,24.623809523809523,29.3,21,6.6,4,1997
Campina Grande,1997-04-27T00:00:00Z,24.576190476190476,29.3,20,23,4,1997
Campina Grande,1997-05-04T00:00:00Z,24.095238095238095,29.1,19.3,31.9,5,1997
Campina Grande,1997-05-11T00:00:00Z,23.676190476190477,28.1,19.3,9.9,5,1997
Campina Grande,1997-05-18T00:00:00Z,23.385714285714286,28,19.9,40.199999999999996,5,1997
Campina Grande,1997-05-25T00:00:00Z,22.79047619047619,27.1,19.7,38.3,5,1997
Campina Grande,1997-06-01T00:00:00Z,23.714285714285715,27.6,19.1,0.6000000000000001,6,1997
Campina Grande,1997-06-08T00:00:00Z,23.79047619047619,28,18.1,1.9000000000000001,6,1997
Campina Grande,1997-06-15T00:00:00Z,22.84285714285714,29.6,18,16.8,6,1997
Campina Grande,1997-06-22T00:00:00Z,22.090476190476192,27.2,16.6,13.4,6,1997
Campina Grande,1997-06-29T00:00:00Z,22.252380952380953,27,17.9,44.2,6,1997
Campina Grande,1997-07-06T00:00:00Z,22.204761904761906,26.9,17.1,6.3,7,1997
Campina Grande,1997-07-13T00:00:00Z,22.247619047619047,27.4,16.5,21.1,7,1997
Campina Grande,1997-07-20T00:00:00Z,21.957142857142856,27.1,16.6,16,7,1997
Campina Grande,1997-07-27T00:00:00Z,22.295238095238094,28.1,17.3,17.6,7,1997
Campina Grande,1997-08-03T00:00:00Z,22.12857142857143,28.2,16.1,13.1,8,1997
Campina Grande,1997-08-10T00:00:00Z,22.54285714285714,27.9,16.6,1.8,8,1997
Campina Grande,1997-08-17T00:00:00Z,22.32857142857143,27.9,18,18.1,8,1997
Campina Grande,1997-08-24T00:00:00Z,23.966666666666665,29,17.6,0,8,1997
Campina Grande,1997-08-31T00:00:00Z,23.1,29.5,16.3,9.899999999999999,8,1997
Campina Grande,1997-09-07T00:00:00Z,24.457142857142856,30.5,18.6,0,9,1997
Campina Grande,1997-09-14T00:00:00Z,24.738095238095237,31.6,18.5,3.9,9,1997
Campina Grande,1997-09-21T00:00:00Z,25.076190476190476,31.5,19.3,0,9,1997
Campina Grande,1997-09-28T00:00:00Z,25.64761904761905,32.7,18.2,0,9,1997
Campina Grande,1997-10-05T00:00:00Z,25.44761904761905,31.1,19.6,0,10,1997
Campina Grande,1997-10-12T00:00:00Z,25.68095238095238,31.8,19.4,0,10,1997
Campina Grande,1997-10-19T00:00:00Z,25.695238095238096,31.3,18.7,0.9,10,1997
Campina Grande,1997-10-26T00:00:00Z,25.928571428571427,32.4,19.2,0,10,1997
Campina Grande,1997-11-02T00:00:00Z,26.409523809523808,32.5,18.2,0,11,1997
Campina Grande,1997-11-09T00:00:00Z,26.19047619047619,32.6,19,0.1,11,1997
Campina Grande,1997-11-16T00:00:00Z,26.095238095238095,32.3,20.2,1.7,11,1997
Campina Grande,1997-11-23T00:00:00Z,26.33809523809524,31.9,21,0,11,1997
Campina Grande,1997-11-30T00:00:00Z,27.176190476190477,33.1,20.7,0,11,1997
Campina Grande,1997-12-07T00:00:00Z,26.904761904761905,33.3,21,0,12,1997
Campina Grande,1997-12-14T00:00:00Z,26.414285714285715,32.7,20.3,0.8,12,1997
Campina Grande,1997-12-21T00:00:00Z,25.757142857142856,31.2,20.7,50.699999999999996,12,1997
Campina Grande,1997-12-28T00:00:00Z,26.28333333333333,32.5,21.5,0.3,12,1997
Campina Grande,1998-01-04T00:00:00Z,26.78095238095238,33.6,21.5,0.1,1,1998
Campina Grande,1998-01-11T00:00:00Z,26.561904761904763,33,21.5,3.3000000000000003,1,1998
Campina Grande,1998-01-18T00:00:00Z,26.676190476190477,33,21.6,5.5,1,1998
Campina Grande,1998-01-25T00:00:00Z,26.685714285714287,33.5,22,1.4,1,1998
Campina Grande,1998-02-01T00:00:00Z,27.6,33.5,22.5,2.7,2,1998
Campina Grande,1998-02-08T00:00:00Z,27.904761904761905,34.2,22.1,0,2,1998
Campina Grande,1998-02-15T00:00:00Z,27.20952380952381,33,22,0.7,2,1998
Campina Grande,1998-02-22T00:00:00Z,27.909523809523808,33.9,21.9,0.3,2,1998
Campina Grande,1998-03-01T00:00:00Z,27.919047619047618,34,21.8,2.8,3,1998
Campina Grande,1998-03-08T00:00:00Z,27.542857142857144,34.2,21.2,3.2,3,1998
Campina Grande,1998-03-15T00:00:00Z,27.795238095238094,34.1,22.3,5.1,3,1998
Campina Grande,1998-03-22T00:00:00Z,27.323809523809523,32.9,22.4,27.2,3,1998
Campina Grande,1998-03-29T00:00:00Z,26.961904761904762,32.5,21,24.7,3,1998
Campina Grande,1998-04-05T00:00:00Z,27.395238095238096,33.2,21.9,10.7,4,1998
Campina Grande,1998-04-12T00:00:00Z,27.542857142857144,32.7,22,0.6,4,1998
Campina Grande,1998-04-19T00:00:00Z,26.885714285714286,32.8,21.1,6.8,4,1998
Campina Grande,1998-04-26T00:00:00Z,27.547619047619047,32.7,21.1,0,4,1998
Campina Grande,1998-05-03T00:00:00Z,27.038095238095238,32.8,20.4,0.7,5,1998
Campina Grande,1998-05-10T00:00:00Z,24.55238095238095,30.3,20.2,14.7,5,1998
Campina Grande,1998-05-17T00:00:00Z,24.538095238095238,30.1,19.8,6.4,5,1998
Campina Grande,1998-05-24T00:00:00Z,24.419047619047618,30.2,20.3,15.2,5,1998
Campina Grande,1998-05-31T00:00:00Z,25.04285714285714,31.1,19,2.7,5,1998
Campina Grande,1998-06-07T00:00:00Z,23.904761904761905,29,18.9,19.5,6,1998
Campina Grande,1998-06-14T00:00:00Z,23.576190476190476,28.4,19.9,14,6,1998
Campina Grande,1998-06-21T00:00:00Z,23.552380952380954,29.6,18.3,2.5,6,1998
Campina Grande,1998-06-28T00:00:00Z,24.304761904761904,28.9,17.8,0.30000000000000004,6,1998
Campina Grande,1998-07-05T00:00:00Z,23.942857142857143,29.7,19,25.099999999999998,7,1998
Campina Grande,1998-07-12T00:00:00Z,23.704761904761906,28.4,17.7,8.8,7,1998
Campina Grande,1998-07-19T00:00:00Z,23.004761904761903,29,18.3,13.7,7,1998
Campina Grande,1998-07-26T00:00:00Z,22.2,26.4,18.7,19.3,7,1998
Campina Grande,1998-08-02T00:00:00Z,22.50952380952381,27.9,18.3,16.2,8,1998
Campina Grande,1998-08-09T00:00:00Z,23.1,28.4,18.2,36.3,8,1998
Campina Grande,1998-08-16T00:00:00Z,22.447619047619046,27,17.7,8.4,8,1998
Campina Grande,1998-08-23T00:00:00Z,22.090476190476192,26.4,18.3,34.3,8,1998
Campina Grande,1998-08-30T00:00:00Z,23.238095238095237,28.6,18.7,3.4000000000000004,8,1998
Campina Grande,1998-09-06T00:00:00Z,23.976190476190478,29.2,17.7,1.4000000000000001,9,1998
Campina Grande,1998-09-13T00:00:00Z,24.323809523809523,30,18,0,9,1998
Campina Grande,1998-09-20T00:00:00Z,25.02857142857143,30.4,18.3,0.5,9,1998
Campina Grande,1998-09-27T00:00:00Z,25.223809523809525,30.9,19.2,0,9,1998
Campina Grande,1998-10-04T00:00:00Z,24.82857142857143,31,19.7,12.299999999999999,10,1998
Campina Grande,1998-10-11T00:00:00Z,25.538095238095238,31.7,19.2,0,10,1998
Campina Grande,1998-10-18T00:00:00Z,25.585714285714285,31.2,19.5,3,10,1998
Campina Grande,1998-10-25T00:00:00Z,25.728571428571428,31.5,20.2,0.5,10,1998
Campina Grande,1998-11-01T00:00:00Z,25.90952380952381,31.7,20.3,0,11,1998
Campina Grande,1998-11-08T00:00:00Z,26.633333333333333,32.4,20.4,0,11,1998
Campina Grande,1998-11-15T00:00:00Z,26.261904761904763,32.3,20.3,0.2,11,1998
Campina Grande,1998-11-22T00:00:00Z,26.395238095238096,31.6,21.2,0.1,11,1998
Campina Grande,1998-11-29T00:00:00Z,26.685714285714287,32.6,20.7,5.8,11,1998
Campina Grande,1998-12-06T00:00:00Z,26.49047619047619,33.2,20.6,0,12,1998
Campina Grande,1998-12-13T00:00:00Z,26.461904761904762,32.3,21,0,12,1998
Campina Grande,1998-12-20T00:00:00Z,25.414285714285715,32.3,20.3,4.7,12,1998
Campina Grande,1998-12-27T00:00:00Z,26.13809523809524,32.1,20.1,0,12,1998
Campina Grande,1999-01-03T00:00:00Z,25.985714285714284,31.9,21.1,2.9,1,1999
Campina Grande,1999-01-10T00:00:00Z,25.32857142857143,31.7,20.7,5.3,1,1999
Campina Grande,1999-01-17T00:00:00Z,25.652380952380952,32.1,20.3,2.3000000000000003,1,1999
Campina Grande,1999-01-24T00:00:00Z,26.16190476190476,32,21,1,1,1999
Campina Grande,1999-01-31T00:00:00Z,25.666666666666668,32.1,20.3,6.3,1,1999
Campina Grande,1999-02-07T00:00:00Z,25.21904761904762,31.1,20.1,15.600000000000001,2,1999
Campina Grande,1999-02-14T00:00:00Z,26.35238095238095,31.9,20.9,0,2,1999
Campina Grande,1999-02-21T00:00:00Z,25.64761904761905,30.9,20.1,27.3,2,1999
Campina Grande,1999-02-28T00:00:00Z,26.595238095238095,32.1,21.1,0,2,1999
Campina Grande,1999-03-07T00:00:00Z,26.633333333333333,32,21.8,11,3,1999
Campina Grande,1999-03-14T00:00:00Z,24.766666666666666,31.1,19.8,98.3,3,1999
Campina Grande,1999-03-21T00:00:00Z,25.242857142857144,30,20.1,5,3,1999
Campina Grande,1999-03-28T00:00:00Z,25.595238095238095,31.1,20.3,3.6,3,1999
Campina Grande,1999-04-04T00:00:00Z,26.30952380952381,32.1,20.7,0,4,1999
Campina Grande,1999-04-11T00:00:00Z,25.104761904761904,31.3,21.1,11.8,4,1999
Campina Grande,1999-04-18T00:00:00Z,26.004761904761907,31.3,20,0.6,4,1999
Campina Grande,1999-04-25T00:00:00Z,25.214285714285715,31.6,21,12.1,4,1999
Campina Grande,1999-05-02T00:00:00Z,24.504761904761907,29.9,20.2,18.900000000000002,5,1999
Campina Grande,1999-05-09T00:00:00Z,24.952380952380953,31,20.5,2.5999999999999996,5,1999
Campina Grande,1999-05-16T00:00:00Z,24.66190476190476,29.3,20.3,20,5,1999
Campina Grande,1999-05-23T00:00:00Z,23.257142857142856,28.1,18.8,18.400000000000002,5,1999
Campina Grande,1999-05-30T00:00:00Z,24.061904761904763,31,18.1,4.6,5,1999
Campina Grande,1999-06-06T00:00:00Z,23.485714285714288,28.7,18.3,13.6,6,1999
Campina Grande,1999-06-13T00:00:00Z,24.52857142857143,29.2,19.3,0,6,1999
Campina Grande,1999-06-20T00:00:00Z,24.547619047619047,29.3,17.8,0.4,6,1999
Campina Grande,1999-06-27T00:00:00Z,23.038095238095238,27.7,17.3,18.1,6,1999
Campina Grande,1999-07-04T00:00:00Z,22.79047619047619,27.9,17.3,30.8,7,1999
Campina Grande,1999-07-11T00:00:00Z,23.152380952380952,28.3,16.8,2.2,7,1999
Campina Grande,1999-07-18T00:00:00Z,22.071428571428573,26.8,17.8,42,7,1999
Campina Grande,1999-07-25T00:00:00Z,21.99047619047619,26.8,17.9,20.8,7,1999
Campina Grande,1999-08-01T00:00:00Z,22.704761904761906,27.1,16.3,0.8,8,1999
Campina Grande,1999-08-08T00:00:00Z,23.566666666666666,28.7,16.9,0,8,1999
Campina Grande,1999-08-15T00:00:00Z,23.204761904761906,28.6,16.5,10.9,8,1999
Campina Grande,1999-08-22T00:00:00Z,21.757142857142856,27.3,16.7,21,8,1999
Campina Grande,1999-08-29T00:00:00Z,22.090476190476192,27.2,17.3,12.1,8,1999
Campina Grande,1999-09-05T00:00:00Z,23.566666666666666,28.9,17.6,0,9,1999
Campina Grande,1999-09-12T00:00:00Z,23.42857142857143,29.3,18.3,6.8999999999999995,9,1999
Campina Grande,1999-09-19T00:00:00Z,24.40952380952381,30.5,18.8,1.5,9,1999
Campina Grande,1999-09-26T00:00:00Z,25.404761904761905,31,18.8,0,9,1999
Campina Grande,1999-10-03T00:00:00Z,24.142857142857142,30.7,17.3,12.9,10,1999
Campina Grande,1999-10-10T00:00:00Z,24.442857142857143,30,18.8,9.1,10,1999
Campina Grande,1999-10-17T00:00:00Z,24.919047619047618,31.4,19,6.8,10,1999
Campina Grande,1999-10-24T00:00:00Z,25.47142857142857,31.4,20.2,1.5,10,1999
Campina Grande,1999-10-31T00:00:00Z,25.752380952380953,31.2,20.3,0,10,1999
Campina Grande,1999-11-07T00:00:00Z,26.323809523809523,32.3,20.4,0.3,11,1999
Campina Grande,1999-11-14T00:00:00Z,26.34285714285714,31.9,19.8,0,11,1999
Campina Grande,1999-11-21T00:00:00Z,25.85238095238095,31.8,20,0,11,1999
Campina Grande,1999-11-28T00:00:00Z,25.547619047619047,31.5,20.3,1.5,11,1999
Campina Grande,1999-12-05T00:00:00Z,25.4,31.9,20.5,9.5,12,1999
Campina Grande,1999-12-12T00:00:00Z,26.51904761904762,31.7,20.7,0,12,1999
Campina Grande,1999-12-19T00:00:00Z,25.176190476190477,30.7,21.2,7.300000000000001,12,1999
Campina Grande,1999-12-26T00:00:00Z,25.952380952380953,31.1,21.1,3.5,12,1999
Campina Grande,2000-01-02T00:00:00Z,23.923809523809524,30.7,20,6.9,1,2000
Campina Grande,2000-01-09T00:00:00Z,25.15714285714286,30.7,19.9,70.4,1,2000
Campina Grande,2000-01-16T00:00:00Z,26.11904761904762,32.1,20,0.6,1,2000
Campina Grande,2000-01-23T00:00:00Z,26.104761904761904,32,21.1,0,1,2000
Campina Grande,2000-01-30T00:00:00Z,26.761904761904763,32.6,21.2,0.5,1,2000
Campina Grande,2000-02-06T00:00:00Z,26.34285714285714,32.5,20.4,1.7,2,2000
