id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,conteudo,n,engajamento,engajamento_mediano
178881,câmara,ALUISIO MENDES,PODE,MA,AluisioMendesMA,proprio,22,53,2
178882,câmara,ANDRÉ FUFUCA,PP,MA,DepAndreFufuca,proprio,0,0,0
178884,câmara,HILDO ROCHA,MDB,MA,hildorocha1513,proprio,60,51,1
178886,câmara,JUSCELINO FILHO,DEM,MA,DepJuscelino,proprio,95,177,1
178887,câmara,RUBENS PEREIRA JÚNIOR,PCdoB,MA,rubenspereirajr,proprio,315,17843,15
178889,câmara,ZÉ CARLOS,PT,MA,Dep_ZeCarlosPT,proprio,97,1018,3
178895,câmara,MISAEL VARELLA,PSD,MG,NA,proprio,0,0,0
178896,câmara,NEWTON CARDOSO JR,MDB,MG,newton1510,proprio,50,123,2
178901,câmara,TEREZA CRISTINA,DEM,MS,TerezaCrisMS,proprio,32,56695,1168.5
178908,câmara,DELEGADO ÉDER MAURO,PSD,PA,EderMauroPA,proprio,190,4882,17.5
178909,câmara,HÉLIO LEITE,DEM,PA,NA,proprio,0,0,0
178910,câmara,JOAQUIM PASSARINHO,PSD,PA,joaquimpassarin,proprio,0,0,0
178912,câmara,PEDRO CUNHA LIMA,PSDB,PB,pedroocl,proprio,12,874,49.5
178916,câmara,DANIEL COELHO,PPS,PE,DanielCoelho23 ‏,proprio,0,0,0
178920,câmara,RICARDO TEOBALDO,PODE,PE,psdbricardo45,proprio,0,0,0
178921,câmara,SEBASTIÃO OLIVEIRA,PR,PE,Seba_Oliveira,proprio,0,0,0
178922,câmara,TADEU ALENCAR,PSB,PE,NA,proprio,0,0,0
178924,câmara,CAPITÃO FÁBIO ABREU,PR,PI,depfabioabreu,proprio,61,85,1
178925,câmara,REJANE DIAS,PT,PI,rejane_dias,proprio,79,230,2
178927,câmara,ALIEL MACHADO,PSB,PR,alielmachado,proprio,70,1126,7
178928,câmara,CHRISTIANE DE SOUZA YARED,PR,PR,christianeyared,proprio,0,0,0
178929,câmara,DIEGO GARCIA,PODE,PR,diegogarciapr,proprio,120,755,5
178930,câmara,EVANDRO ROMAN,PSD,PR,roman_evandro,proprio,51,84,1
178931,câmara,LUCIANO DUCCI,PSB,PR,LucianoDucci,proprio,31,69,2
178933,câmara,SERGIO SOUZA,MDB,PR,_sergiosouza,proprio,0,0,0
178934,câmara,TONINHO WANDSCHEER,PROS,PR,deputadotoninho,proprio,112,177,1
178937,câmara,ALTINEU CÔRTES,PR,RJ,Altineu,proprio,21,10,0
178939,câmara,CLARISSA GAROTINHO,PROS,RJ,dep_clarissa,proprio,21,143,5
178945,câmara,ROSANGELA GOMES,PRB,RJ,rosangelasgomes,proprio,53,89,1
178946,câmara,SORAYA SANTOS,PR,RJ,sorayasantos,proprio,24,189,5.5
178947,câmara,SÓSTENES CAVALCANTE,DEM,RJ,DepSostenes,proprio,331,23441,15
178948,câmara,BETO ROSADO,PP,RN,betorosado,proprio,0,0,0
178951,câmara,RAFAEL MOTTA,PSB,RN,RafaelMottaRN,proprio,25,162,5
178952,câmara,WALTER ALVES,MDB,RN,WalterAlvesRN,proprio,0,0,0
178953,câmara,EXPEDITO NETTO,PSD,RO,netto_expedito,proprio,21,41,2
178954,câmara,LUCIO MOSQUINI,MDB,RO,luciomosquini,proprio,0,0,0
178956,câmara,MARIANA CARVALHO,PSDB,RO,MarianaPSDB,proprio,0,0,0
178959,câmara,HIRAN GONÇALVES,PP,RR,deputadohiran,proprio,32,62,1
178961,câmara,SHÉRIDAN,PSDB,RR,depsheridan,proprio,0,0,0
178962,câmara,CARLOS GOMES,PRB,RS,carlosgomesdep,proprio,3,0,0
178963,câmara,COVATTI FILHO,PP,RS,CovattiFilho,proprio,1,5,5
178964,câmara,HEITOR SCHUCH,PSB,RS,HeitorSchuch,proprio,31,113,3
178966,câmara,GEOVANIA DE SÁ,PSDB,SC,geovaniadesa,proprio,18,469,14.5
178969,câmara,FÁBIO MITIDIERI,PSD,SE,depfmitidieri,proprio,236,1334,4
178970,câmara,JOÃO DANIEL,PT,SE,joaodanielPT,proprio,0,0,0
178972,câmara,ALEX MANENTE,PPS,SP,alexmanentepps,proprio,0,0,0
178975,câmara,BALEIA ROSSI,MDB,SP,baleia_rossi,proprio,0,0,0
178977,câmara,EDUARDO CURY,PSDB,SP,eduardo_cury,proprio,0,0,0
178981,câmara,HERCULANO PASSOS,MDB,SP,herculanopassos,proprio,36,76,2
178983,câmara,MARCIO ALVINO,PR,SP,AlvinoMarcio,proprio,0,0,0
178985,câmara,MIGUEL LOMBARDI,PR,SP,DMiguellombardi,proprio,9,21,3
178986,câmara,NILTO TATTO,PT,SP,NiltoTatto,proprio,474,6075,5
178987,câmara,ORLANDO SILVA,PCdoB,SP,orlandosilva,proprio,190,40901,55
178989,câmara,RENATA ABREU,PODE,SP,RenataAbreuDep,proprio,145,878,5
178990,câmara,SAMUEL MOREIRA,PSDB,SP,samuelmoreira,proprio,44,205,3
178992,câmara,VITOR LIPPI,PSDB,SP,DepVitorLippi,proprio,0,0,0
178993,câmara,CARLOS HENRIQUE GAGUIM,DEM,TO,carlos_gaguim,proprio,0,0,0
178994,câmara,DULCE MIRANDA,MDB,TO,dulcemiranda_to,proprio,0,0,0
178996,câmara,GIOVANI FELTES,MDB,RS,GiovaniFeltes,proprio,16,45,3
178997,câmara,MOSES RODRIGUES,MDB,CE,depfederalmoses,proprio,0,0,0
179000,câmara,MARCELO ÁLVARO ANTÔNIO,PSL,MG,Marceloalvaroan,proprio,49,16896,169
179001,câmara,MÁRCIO BIOLCHI,MDB,RS,marciobiolchi,proprio,1,7,7
179587,câmara,MAJOR VITOR HUGO,PSL,GO,MajorVitorHugo,proprio,298,128591,172
191923,câmara,FLAVIO NOGUEIRA,PDT,PI,flavionoguera,proprio,0,0,0
193726,câmara,PAULO EDUARDO MARTINS,PSC,PR,PauloMartins10,proprio,355,1082269,1530
194260,câmara,NIVALDO ALBUQUERQUE,PTB,AL,NivaldoAlbuque,proprio,0,0,0
195866,câmara,VAIDON OLIVEIRA,PROS,CE,VaidonOliveira,proprio,0,0,0
196358,câmara,LOURIVAL GOMES,PSL,RJ,lourivalgomesrj,proprio,0,0,0
197438,câmara,TITO,AVANTE,BA,NA,proprio,0,0,0
198197,câmara,GREYCE ELIAS,AVANTE,MG,NA,proprio,0,0,0
198783,câmara,EMANUEL PINHEIRO NETO,PTB,MT,emanuelzinhomt,proprio,84,270,3
204351,câmara,DR. LUIZ OVANDO,PSL,MS,NA,proprio,0,0,0
204352,câmara,CAMILO CAPIBERIBE,PSB,AP,CamiloPSB,proprio,142,2985,13
204353,câmara,ALINE GURGEL,PRB,AP,alinegurgel1000,proprio,139,1198,6
204354,câmara,FLÁVIA ARRUDA,PR,DF,flaviaarrudadf,proprio,0,0,0
204355,câmara,DA VITORIA,PPS,ES,josiasdavitoria,proprio,33,80,2
204356,câmara,AMARO NETO,PRB,ES,amaronetotv,proprio,0,0,0
204357,câmara,ROSE MODESTO,PSDB,MS,rosemodestoms,proprio,0,0,0
204358,câmara,BETO PEREIRA,PSDB,MS,betopereirams,proprio,56,152,1
204359,câmara,LÉO MORAES,PODE,RO,dep_leomoraes,proprio,0,0,0
204360,câmara,SILVIA CRISTINA,PDT,RO,NA,proprio,0,0,0
204361,câmara,CARLOS CHIODINI,MDB,SC,carloschiodini,proprio,55,234,3
204362,câmara,RICARDO GUIDI,PSD,SC,ricardozguidi,proprio,0,0,0
204363,câmara,OSIRES DAMASO,PSC,TO,Damaso2020,proprio,0,0,0
204364,câmara,ELI BORGES,SOLIDARIEDADE,TO,elidiasborges,proprio,24,19,0
204365,câmara,GILSON MARQUES,NOVO,SC,gilsonmarques30,proprio,54,3184,11.5
204366,câmara,RODRIGO COELHO,PSB,SC,coelho_rodrigo,proprio,145,378,2
204367,câmara,DANIEL FREITAS,PSL,SC,NA,proprio,0,0,0
204368,câmara,FABIO SCHIOCHET,PSL,SC,deputadofabiosc,proprio,0,0,0
204369,câmara,CAROLINE DE TONI,PSL,SC,CarolDeToni3,proprio,13,1720,122
204370,câmara,CÉLIO MOURA,PT,TO,CelioMoura13,proprio,0,0,0
204371,câmara,FELIPE RIGONI,PSB,ES,rigoni_felipe,proprio,103,1457,7
204372,câmara,JULIO CESAR RIBEIRO,PRB,DF,JulioCesarRib,proprio,53,181,2
204373,câmara,HÉLIO COSTA,PRB,SC,HelioCosta,proprio,0,0,0
204374,câmara,BIA KICIS,PSL,DF,Biakicis,proprio,368,717602,667.5
204375,câmara,LEDA SADALA,AVANTE,AP,LedaSadala,proprio,0,0,0
204376,câmara,CORONEL ARMANDO,PSL,SC,NA,proprio,0,0,0
204377,câmara,PAULA BELMONTE,PPS,DF,paulambelmonte,proprio,39,258,4
204378,câmara,CORONEL CHRISÓSTOMO,PSL,RO,NA,proprio,0,0,0
204379,câmara,ACÁCIO FAVACHO,PROS,AP,FavachoAcacio,proprio,0,0,0
204380,câmara,CELINA LEÃO,PP,DF,celinaleao,proprio,66,210,2
204381,câmara,LUIS MIRANDA,DEM,DF,LuisMirandaUSA1,proprio,0,0,0
204382,câmara,LOESTER TRUTIS,PSL,MS,LTrutis,proprio,7,286,14
204383,câmara,PROFESSOR ISRAEL BATISTA,PV,DF,ProfIsrael,proprio,18,167,6.5
204384,câmara,NEY LEPREVOST,PSD,PR,neyleprevost,proprio,449,1964,4
204385,câmara,VALDEVAN NOVENTA,PSC,SE,dep_fed_noventa,proprio,0,0,0
204386,câmara,JOSE MARIO SCHREINER,DEM,GO,SchreinerJose,proprio,0,0,0
204387,câmara,SARGENTO FAHUR,PSD,PR,SargentoFAHUR,proprio,68,744388,7436.5
204388,câmara,BIBO NUNES,PSL,RS,bibonunes1,proprio,0,0,0
204389,câmara,ELIAS VAZ,PSB,GO,EliasVazGyn,proprio,0,0,0
204390,câmara,PROFESSOR ALCIDES,PP,GO,NA,proprio,0,0,0
204391,câmara,JOSÉ NELTO,PODE,GO,depjosenelto,proprio,66,538,5.5
204392,câmara,FRANCISCO JR.,PSD,GO,franciscojr_go,proprio,67,539,7
204393,câmara,FREI ANASTACIO RIBEIRO,PT,PB,freianastacioal,proprio,0,0,0
204394,câmara,GERVÁSIO MAIA,PSB,PB,gervasiomaia,proprio,52,481,8
204395,câmara,PEDRO LUPION,DEM,PR,Dep_PedroLupion,proprio,78,2724,3
204396,câmara,VERMELHO,PSD,PR,NA,proprio,0,0,0
204397,câmara,BOCA ABERTA,PROS,PR,BocaAbertaOf,proprio,116,427,2.5
204398,câmara,FELIPE FRANCISCHINI,PSL,PR,FFrancischini_,proprio,0,0,0
204399,câmara,SCHIAVINATO,PP,PR,Schiavinato_,proprio,77,52,0
204400,câmara,ALINE SLEUTJES,PSL,PR,NA,proprio,0,0,0
204403,câmara,MARLON SANTOS,PDT,RS,deputado_marlon,proprio,0,0,0
204404,câmara,LUCAS REDECKER,PSDB,RS,LucasRedecker,proprio,124,1034,7
204405,câmara,LIZIANE BAYER,PSB,RS,LizianeBayer,proprio,205,1268,5
204406,câmara,PEDRO WESTPHALEN,PP,RS,pedrowestphalen,proprio,55,131,2
204407,câmara,FERNANDA MELCHIONNA,PSOL,RS,fernandapsol,proprio,717,100499,52
204408,câmara,GUSTINHO RIBEIRO,SOLIDARIEDADE,SE,GustinhoRibeiro,proprio,32,95,3
204409,câmara,DANIEL TRZECIAK,PSDB,RS,TrzeciakDaniel,proprio,44,726,14.5
204410,câmara,LUISA CANZIANI,PTB,PR,luisa_canziani,proprio,93,822,8
204411,câmara,FILIPE BARROS,PSL,PR,filipebarrost,proprio,43,753,13
204412,câmara,DR. ZACHARIAS CALIL,DEM,GO,NA,proprio,0,0,0
204413,câmara,ALCIDES RODRIGUES,PRP,GO,NA,proprio,0,0,0
204414,câmara,AROLDO MARTINS,PRB,PR,aroldomartins,proprio,116,278,2
204415,câmara,NEREU CRISPIM,PSL,RS,nereucrispim,proprio,119,389,2
204416,câmara,UBIRATAN SANDERSON,PSL,RS,SandersonPF,proprio,51,1290,14
204418,câmara,PROFESSOR LUIZÃO GOULART,PRB,PR,luizaogoulart,proprio,68,150,2
204419,câmara,GLAUSTIN FOKUS,PSC,GO,glaustinfokus,proprio,38,140,2
204420,câmara,JULIAN LEMOS,PSL,PB,JulianLemosopb1,proprio,0,0,0
204421,câmara,EDNA HENRIQUE,PSDB,PB,NA,proprio,0,0,0
204422,câmara,OSSESIO SILVA,PRB,PE,Ossesio_Silva,proprio,119,267,2
204423,câmara,ANDRÉ FERREIRA,PSC,PE,NA,proprio,0,0,0
204425,câmara,SILVIO COSTA FILHO,PRB,PE,Silvio_CFilho,proprio,76,217,2
204426,câmara,CARLOS VERAS,PT,PE,carlosveras1314,proprio,0,0,0
204427,câmara,FERNANDO RODOLFO,PR,PE,fernandorodolfo,proprio,0,0,0
204428,câmara,MARÍLIA ARRAES,PT,PE,MariliaArraes,proprio,86,27630,106
204429,câmara,JOÃO H. CAMPOS,PSB,PE,NA,proprio,0,0,0
204430,câmara,MARGARETE COELHO,PP,PI,MargaretCoelho,proprio,68,310,4
204431,câmara,MARCOS AURÉLIO SAMPAIO,MDB,PI,MarcosA_Sampaio,proprio,0,0,0
204432,câmara,MARINA SANTOS,SOLIDARIEDADE,PI,NA,proprio,0,0,0
204433,câmara,MARCELO CALERO,PPS,RJ,caleromarcelo,proprio,113,59871,154
204434,câmara,DRA. VANDA MILANI,SOLIDARIEDADE,AC,Vandamilani,proprio,0,0,0
204435,câmara,JESUS SÉRGIO,PDT,AC,jesussergioac,proprio,7,40,2
204436,câmara,ISNALDO BULHÕES JR.,MDB,AL,bulhoesjr,proprio,5,16,3
204437,câmara,SEVERINO PESSOA,PRB,AL,NA,proprio,0,0,0
204438,câmara,SERGIO TOLEDO,PR,AL,depsergiotoledo,proprio,0,0,0
204439,câmara,DR. LEONARDO,SOLIDARIEDADE,MT,DrLeonardomt,proprio,175,64,0
204440,câmara,CHRISTINO AUREO,PP,RJ,christinoaureo,proprio,84,88,1
204441,câmara,OTONI DE PAULA,PSC,RJ,OtoniDepFederal,proprio,63,524,8
204442,câmara,GURGEL,PSL,RJ,gurgelsoares,proprio,0,0,0
204443,câmara,WAGNER MONTES,PRB,RJ,depwagnermontes,proprio,27,1957,12
204444,câmara,HELIO LOPES,PSL,RJ,depheliolopes,proprio,160,128111,353.5
